Name,C++
[Binary Search](https://leetcode.com/problems/binary-search),[:arrow_right_hook:](https://github.com/leowajda/eureka-cpp/blob/master/src/array/iterative/BinarySearch.cpp)
[Find Smallest Letter Greater Than Target](https://leetcode.com/problems/find-smallest-letter-greater-than-target),[:arrow_right_hook:](https://github.com/leowajda/eureka-cpp/blob/master/src/array/iterative/FindSmallestLetterGreaterThanTarget.cpp)
